category_slug,subcategory_slug,text,difficulty,explanation,law_name,law_article,source_url,law_version_date,is_prime,option_a,option_b,option_c,option_d,correct_option
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „პარტიების მიერ ცესკოს წევრების დანიშვნისა და მათთვის უფლებამოსილების შეწყვეტის წესი“?",hard,"სწორი პასუხია C, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 13 ადგენს/განმარტავს საკითხს „პარტიების მიერ ცესკოს წევრების დანიშვნისა და მათთვის უფლებამოსილების შეწყვეტის წესი“.",საქართველოს საარჩევნო კოდექსი,მუხლი 13,,2025-12-17,false,"საქართველოს პარლამენტის წევრობის კანდიდატს შეუძლია არჩეული პარლამენტის წევრების უფლებამოსილების ცნობის შემდეგ მოხსნას თავისი კანდიდატურა პარტიული სიიდან, რისთვისაც სათანადო განცხადებით უნდა მიმართოს ცესკოს","თუ განცხადებაში/საჩივარში მითითებული დარღვევა აღმოიფხვრება, ჩანაწერთა წიგნში კეთდება ჩანაწერი „დარღვევა აღმოფხვრილია“ და მიეთითება ზუსტი დრო","თუ ამ მუხლის პირველი პუნქტით გათვალისწინებული პარტიების რაოდენობა 9-ზე მეტია, ცესკოს წევრის დანიშვნისას უპირატესობა ენიჭება იმ პარტიას, რომელმაც საქართველოს პარლამენტის არჩევნებში უფრო მეტი ხმა მიიღო",არჩევნებში მონაწილე ამომრჩეველთა ხმების რაოდენობაში არ ჩაითვლება ბათილად ცნობილი საარჩევნო ბიულეტენებით გათვალისწინებული ხმების რაოდენობა,C
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „ცესკოს უფლებამოსილება“?",medium,"სწორი პასუხია D, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 14 ადგენს/განმარტავს საკითხს „ცესკოს უფლებამოსილება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 14,,2025-12-17,false,"საოლქო საარჩევნო კომისიის გადაწყვეტილება მისი მიღებიდან 2 კალენდარული დღის ვადაში შეიძლება გასაჩივრდეს შესაბამის რაიონულ/საქალაქო სასამართლოში, რომელიც საჩივარს იხილავს მისი მიღებიდან 2 კალენდარული დღის ვადაში","საქართველოს საარჩევნო ადმინისტრაციას, ცესკოს სახით, უფლება აქვს, მიიღოს გრანტი კანონით უფლებამოსილი პირისაგან",არჩევნების საბოლოო შედეგების შეჯამებიდან 5 დღის ვადაში ცესკო რეგისტრაციაში ატარებს თბილისის საკრებულოს წევრად არჩეულ პირებს და გადასცემს მათ შესაბამის მოწმობებს,ცესკოს ყველა დადგენილება ქვეყნდება „საქართველოს საკანონმდებლო მაცნეში“ და შეიძლება გამოქვეყნდეს მასობრივი ინფორმაციის სხვა საშუალებებითაც,D
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „ცესკოს თავმჯდომარის, თავმჯდომარის მოადგილისა და ცესკოს მდივნის უფლებამოსილება“?",medium,"სწორი პასუხია A, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 15 ადგენს/განმარტავს საკითხს „ცესკოს თავმჯდომარის, თავმჯდომარის მოადგილისა და ცესკოს მდივნის უფლებამოსილება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 15,,2025-12-17,false,ცესკოს თავმჯდომარე საქართველოს საარჩევნო ადმინისტრაციის უმაღლესი თანამდებობის პირია,სარეფერენდუმოდ შემოთავაზებული საკითხი საინიციატივო ჯგუფმა მკაფიოდ და კონკრეტულად უნდა ჩამოაყალიბოს,თბილისის საკრებულოს არჩევნებისას ამომრჩეველს გადაეცემა ერთი მაჟორიტარული საარჩევნო ბიულეტენი და ერთი პროპორციული საარჩევნო ბიულეტენი,აუდიტის ჩატარების უფლება აქვს „სახელმწიფო აუდიტის სამსახურის შესახებ“ საქართველოს ორგანული კანონის შესაბამისად სერტიფიცირებულ აუდიტორს,A
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „ცესკოს აპარატი“?",easy,"სწორი პასუხია B, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 16 ადგენს/განმარტავს საკითხს „ცესკოს აპარატი“.",საქართველოს საარჩევნო კოდექსი,მუხლი 16,,2025-12-17,false,ერთი და იგივე პირი საქართველოს პრეზიდენტად შეიძლება აირჩეს მხოლოდ ორჯერ,"არჩევნებისა და რეფერენდუმის ჩატარების ორგანიზაციულ, სამართლებრივ და ტექნიკურ უზრუნველყოფას ახორციელებს ცესკოს აპარატი","არჩევნებში მონაწილე ყოველ პარტიას უფლება აქვს, წარადგინოს 1 პარტიული სია",საქართველოს პარლამენტის ვადამდე დათხოვნის შემთხვევაში საქართველოს პარლამენტის რიგგარეშე არჩევნები ტარდება პარლამენტის ვადამდე დათხოვნიდან არაუადრეს 45-ე დღისა და არაუგვიანეს მე-60 დღისა,B
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „საჯარო სამართლის იურიდიული პირი – საარჩევნო სისტემების განვითარების, რეფორმებისა და სწავლების ცენტრი“?",hard,"სწორი პასუხია C, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 17 ადგენს/განმარტავს საკითხს „საჯარო სამართლის იურიდიული პირი – საარჩევნო სისტემების განვითარების, რეფორმებისა და სწავლების ცენტრი“.",საქართველოს საარჩევნო კოდექსი,მუხლი 17,,2025-12-17,false,"საქართველოს პარლამენტის წევრობის კანდიდატს შეუძლია არჩეული პარლამენტის წევრების უფლებამოსილების ცნობის შემდეგ მოხსნას თავისი კანდიდატურა პარტიული სიიდან, რისთვისაც სათანადო განცხადებით უნდა მიმართოს ცესკოს",ცესკო კენჭისყრამდე არა უგვიანეს 55 დღისა საქართველოს ფინანსთა სამინისტროს წარუდგენს არჩევნების/რეფერენდუმის მომზადებისა და ჩატარების დაფინანსების გეგმას,"საჯარო სამართლის იურიდიული პირი − საარჩევნო სისტემების განვითარების, რეფორმებისა და სწავლების ცენტრი (შემდგომ − სწავლების ცენტრი) არის საარჩევნო კოდექსის საფუძველზე შექმნილი საჯარო სამართლის იურიდიული პირი","განცხადებას უნდა ერთოდეს საქართველოს პრეზიდენტობის კანდიდატის წერილობითი თანხმობა არჩევნებში მონაწილეობაზე, უფლების ჩამორთმევის შესახებ ცნობა და 3 ფოტოსურათი",C
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „საარჩევნო ოლქები“?",medium,"სწორი პასუხია D, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 18 ადგენს/განმარტავს საკითხს „საარჩევნო ოლქები“.",საქართველოს საარჩევნო კოდექსი,მუხლი 18,,2025-12-17,false,ცესკო საარჩევნო უბნებიდან კენჭისყრის შედეგების შემაჯამებელი ოქმების შემოსვლის პარალელურად უზრუნველყოფს ამ ოქმების მონაცემთა ცესკოს ვებგვერდზე განთავსებას,საარჩევნო უბნის გახსნიდან კენჭისყრის დაწყებამდე პროცედურები ტარდება შემდეგი თანამიმდევრობით: ა) საარჩევნო უბნის გახსნისთანავე იხსნება კენჭისყრის დღის ჩანაწერთა წიგნი,გარდამავალ პერიოდში საარჩევნო სუბიექტის მიერ წლიური ხარჯების გაწევასთან დაკავშირებით მოქმედი შეზღუდვა 1,საქართველოს პარლამენტის არჩევნებისთვის საქართველო არის ერთიანი მრავალმანდატიანი საარჩევნო ოლქი,D
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „საოლქო საარჩევნო კომისიის შექმნა“?",easy,"სწორი პასუხია A, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 19 ადგენს/განმარტავს საკითხს „საოლქო საარჩევნო კომისიის შექმნა“.",საქართველოს საარჩევნო კოდექსი,მუხლი 19,,2025-12-17,false,საოლქო საარჩევნო კომისია არის საქართველოს საარჩევნო ადმინისტრაციის მუდმივმოქმედი ტერიტორიული ორგანო,რეფერენდუმის გამართვის შესახებ ბრძანებულებაში მოცემული უნდა იყოს მისი მოწყობის თარიღი და სარეფერენდუმოდ გამოტანილი საკითხის ზუსტი ფორმულირება,წილისყრას ატარებს საუბნო საარჩევნო კომისიის თავმჯდომარე კომისიის წევრებისა და კენჭისყრის შენობაში ყოფნის უფლების მქონე პირთა თანდასწრებით,ამ კანონის 54-ე მუხლის მე-7 ან მე-8 პუნქტით დადგენილი მოთხოვნის დარღვევა გამოიწვევს დაჯარიმებას შესაბამისი ზღვრის გადაჭარბებით გაწეული ხარჯის ორმაგი ოდენობით,A
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „საოლქო საარჩევნო კომისიის წევრთა და ხელმძღვანელ პირთა დანიშვნის/არჩევის წესი“?",medium,"სწორი პასუხია B, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 20 ადგენს/განმარტავს საკითხს „საოლქო საარჩევნო კომისიის წევრთა და ხელმძღვანელ პირთა დანიშვნის/არჩევის წესი“.",საქართველოს საარჩევნო კოდექსი,მუხლი 20,,2025-12-17,false,რეფერენდუმის მომზადებასა და გამართვას უზრუნველყოფენ ცესკო და საოლქო და საუბნო საარჩევნო კომისიები,"საოლქო საარჩევნო კომისია შედგება არაუმეტეს 17 წევრისგან, რომლებსაც ამ კანონით დადგენილ ვადაში და დადგენილი წესით ნიშნავენ/ირჩევენ ამავე კანონით განსაზღვრული სუბიექტები",არჩევნებში მონაწილე ამომრჩეველთა ხმების რაოდენობაში არ ჩაითვლება ბათილად ცნობილი საარჩევნო ბიულეტენებით გათვალისწინებული ხმების რაოდენობა,საარჩევნო კომისიების მიერ არჩევნებისათვის საჭირო ფულადი სახსრების განაწილებისა და გამოყენების წესს დადგენილებით ადგენს ცესკო,B
constitutional,election-code,საქართველოს საარჩევნო კოდექსში რომელ საკითხს აწესრიგებს მუხლი 21?,hard,"სწორი პასუხია C, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 21 ადგენს/განმარტავს საკითხს „საოლქო საარჩევნო კომისიის უფლებამოსილება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 21,,2025-12-17,false,საარჩევნო უბნის გახსნა,მერის არჩევნების შედეგების შეჯამება,საოლქო საარჩევნო კომისიის უფლებამოსილება,"არჩევნების, რეფერენდუმის ან პლებისციტის შემაჯამებელი ოქმის ასლის გაუცემლობა",C
constitutional,election-code,საქართველოს საარჩევნო კოდექსში რომელ საკითხს აწესრიგებს მუხლი 22?,hard,"სწორი პასუხია D, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 22 ადგენს/განმარტავს საკითხს „საოლქო საარჩევნო კომისიის თავმჯდომარის, თავმჯდომარის მოადგილისა და კომისიის მდივნის უფლებამოსილება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 22,,2025-12-17,false,საარჩევნო კომისიის წევრის/ხელმძღვანელი პირის უფლებამოსილების ვადამდე შეწყვეტა,საქართველოს პრეზიდენტის მორიგი არჩევნების გამართვა,საარჩევნო სუბიექტის წარმომადგენელი და მისი უფლებამოსილება,"საოლქო საარჩევნო კომისიის თავმჯდომარის, თავმჯდომარის მოადგილისა და კომისიის მდივნის უფლებამოსილება",D
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „საარჩევნო უბნები“?",easy,"სწორი პასუხია A, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 23 ადგენს/განმარტავს საკითხს „საარჩევნო უბნები“.",საქართველოს საარჩევნო კოდექსი,მუხლი 23,,2025-12-17,false,კენჭისყრის ჩასატარებლად და ხმების დასათვლელად საარჩევნო ოლქი იყოფა საარჩევნო უბნებად,აუდიტის ჩატარების უფლება აქვს „სახელმწიფო აუდიტის სამსახურის შესახებ“ საქართველოს ორგანული კანონის შესაბამისად სერტიფიცირებულ აუდიტორს,"პარლამენტის წევრად არ შეიძლება აირჩეს პირი, რომელსაც სასამართლოს განაჩენით შეფარდებული აქვს თავისუფლების აღკვეთა",პროპორციული წესით არჩევნებში მონაწილეობისა და თბილისის საკრებულოს წევრის მანდატის მოპოვების უფლება აქვს მხოლოდ პარტიას,A
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „საუბნო საარჩევნო კომისიის შექმნა“?",medium,"სწორი პასუხია B, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 24 ადგენს/განმარტავს საკითხს „საუბნო საარჩევნო კომისიის შექმნა“.",საქართველოს საარჩევნო კოდექსი,მუხლი 24,,2025-12-17,false,სწავლების ცენტრის ხელმძღვანელს თანამდებობაზე ნიშნავს და თანამდებობიდან ათავისუფლებს ცესკოს თავმჯდომარე „საჯარო სამსახურის შესახებ“ საქართველოს კანონისა და „საჯარო სამართლის იურიდიული პირის შესახებ“ საქართველოს...,"საუბნო საარჩევნო კომისია შედგება არაუმეტეს 17 წევრისგან, რომლებსაც ამ კანონით დადგენილ ვადაში და დადგენილი წესით ნიშნავენ/ირჩევენ ამავე კანონით განსაზღვრული სუბიექტები","ცესკოს 7 წევრს ამ კანონითა და საქართველოს პარლამენტის რეგლამენტით დადგენილი წესით ირჩევს საქართველოს პარლამენტი ან ნიშნავს საქართველოს პრეზიდენტი, ხოლო ცესკოს არაუმეტეს 9 წევრს ამ კანონით დადგენილი წესით...",გამონაკლის შემთხვევაში შექმნილი საუბნო საარჩევნო კომისიის წევრები აირჩევიან არჩევნების დღემდე არაუადრეს მე-10 დღისა და არაუგვიანეს მე-9 დღისა,B
